Estación,fecha_hora,weekday,Hora,latitud,longitud,ruido_pred
Portal del Norte,2020-01-03 02:00:00,5,2,4.75447203,-74.04596522,46.916310775859905
Portal del Norte,2020-01-03 03:00:00,5,3,4.75447203,-74.04596522,48.19878040562551
Portal del Norte,2020-01-03 04:00:00,5,4,4.75447203,-74.04596522,53.16868220440297
Portal del Norte,2020-01-03 05:00:00,5,5,4.75447203,-74.04596522,56.91181465879318
Portal del Norte,2020-01-03 06:00:00,5,6,4.75447203,-74.04596522,58.05601621946409
Portal del Norte,2020-01-03 07:00:00,5,7,4.75447203,-74.04596522,58.04091017897
Portal del Norte,2020-01-03 08:00:00,5,8,4.75447203,-74.04596522,57.793582423234795
Portal del Norte,2020-01-03 09:00:00,5,9,4.75447203,-74.04596522,57.48422621916521
Portal del Norte,2020-01-03 10:00:00,5,10,4.75447203,-74.04596522,57.4852917014386
Portal del Norte,2020-01-03 11:00:00,5,11,4.75447203,-74.04596522,57.5160817468242
Portal del Norte,2020-01-03 12:00:00,5,12,4.75447203,-74.04596522,57.576125317620466
Portal del Norte,2020-01-03 13:00:00,5,13,4.75447203,-74.04596522,57.70856726216358
Portal del Norte,2020-01-03 14:00:00,5,14,4.75447203,-74.04596522,57.744325874711556
Portal del Norte,2020-01-03 15:00:00,5,15,4.75447203,-74.04596522,57.75343977038415
Portal del Norte,2020-01-03 16:00:00,5,16,4.75447203,-74.04596522,57.687937935876676
Portal del Norte,2020-01-03 17:00:00,5,17,4.75447203,-74.04596522,57.5582998900024
Portal del Norte,2020-01-03 18:00:00,5,18,4.75447203,-74.04596522,57.17142987010935
Portal del Norte,2020-01-03 19:00:00,5,19,4.75447203,-74.04596522,56.92275211108834
Portal del Norte,2020-01-03 20:00:00,5,20,4.75447203,-74.04596522,56.549885249778626
Portal del Norte,2020-01-03 21:00:00,5,21,4.75447203,-74.04596522,55.89686499004578
Portal del Norte,2020-01-03 22:00:00,5,22,4.75447203,-74.04596522,54.82633805117326
Portal del Norte,2020-01-03 23:00:00,5,23,4.75447203,-74.04596522,53.10124130086827
Portal del Norte,2020-01-04 00:00:00,6,0,4.75447203,-74.04596522,49.48336576169622
Portal del Norte,2020-01-04 01:00:00,6,1,4.75447203,-74.04596522,48.460800285182266
Portal del Norte,2020-01-04 02:00:00,6,2,4.75447203,-74.04596522,48.13320867858362
Portal del Norte,2020-01-04 03:00:00,6,3,4.75447203,-74.04596522,48.63444751903047
Portal del Norte,2020-01-04 04:00:00,6,4,4.75447203,-74.04596522,52.63405224673938
Portal del Norte,2020-01-04 05:00:00,6,5,4.75447203,-74.04596522,56.184799298475326
Portal del Norte,2020-01-04 06:00:00,6,6,4.75447203,-74.04596522,57.253039215927956
Portal del Norte,2020-01-04 07:00:00,6,7,4.75447203,-74.04596522,57.37610668092462
Portal del Norte,2020-01-04 08:00:00,6,8,4.75447203,-74.04596522,57.320333467937644
Portal del Norte,2020-01-04 09:00:00,6,9,4.75447203,-74.04596522,57.06687439479053
Portal del Norte,2020-01-04 10:00:00,6,10,4.75447203,-74.04596522,57.09690391930913
Portal del Norte,2020-01-04 11:00:00,6,11,4.75447203,-74.04596522,57.11165071374081
Portal del Norte,2020-01-04 12:00:00,6,12,4.75447203,-74.04596522,57.18044864800038
Portal del Norte,2020-01-04 13:00:00,6,13,4.75447203,-74.04596522,57.349234119137776
Portal del Norte,2020-01-04 14:00:00,6,14,4.75447203,-74.04596522,57.332863183933064
Portal del Norte,2020-01-04 15:00:00,6,15,4.75447203,-74.04596522,57.08311557728088
Portal del Norte,2020-01-04 16:00:00,6,16,4.75447203,-74.04596522,56.862541646034614
Portal del Norte,2020-01-04 17:00:00,6,17,4.75447203,-74.04596522,56.72637217179628
Portal del Norte,2020-01-04 18:00:00,6,18,4.75447203,-74.04596522,56.288268442047325
Portal del Norte,2020-01-04 19:00:00,6,19,4.75447203,-74.04596522,56.067970936006795
Portal del Norte,2020-01-04 20:00:00,6,20,4.75447203,-74.04596522,55.76130925909339
Portal del Norte,2020-01-04 21:00:00,6,21,4.75447203,-74.04596522,55.18200685069557
Portal del Norte,2020-01-04 22:00:00,6,22,4.75447203,-74.04596522,54.33705854148318
Portal del Norte,2020-01-04 23:00:00,6,23,4.75447203,-74.04596522,52.766768265873544
Portal del Norte,2020-01-05 00:00:00,7,0,4.75447203,-74.04596522,49.03826647165397
Portal del Norte,2020-01-05 01:00:00,7,1,4.75447203,-74.04596522,48.16884494555753
Portal del Norte,2020-01-05 02:00:00,7,2,4.75447203,-74.04596522,47.902409779430336
Portal del Norte,2020-01-05 03:00:00,7,3,4.75447203,-74.04596522,47.720251668882995
Portal del Norte,2020-01-05 04:00:00,7,4,4.75447203,-74.04596522,50.06649967027961
Portal del Norte,2020-01-05 05:00:00,7,5,4.75447203,-74.04596522,52.82645997841233
Portal del Norte,2020-01-05 06:00:00,7,6,4.75447203,-74.04596522,53.69699401414257
Portal del Norte,2020-01-05 07:00:00,7,7,4.75447203,-74.04596522,53.99982663360596
Portal del Norte,2020-01-05 08:00:00,7,8,4.75447203,-74.04596522,54.1486303200304
Portal del Norte,2020-01-05 09:00:00,7,9,4.75447203,-74.04596522,54.011632008012
Portal del Norte,2020-01-05 10:00:00,7,10,4.75447203,-74.04596522,54.19812087913706
Portal del Norte,2020-01-05 11:00:00,7,11,4.75447203,-74.04596522,54.266138171810034
Portal del Norte,2020-01-05 12:00:00,7,12,4.75447203,-74.04596522,54.54960068178809
Portal del Norte,2020-01-05 13:00:00,7,13,4.75447203,-74.04596522,54.64735192436735
Portal del Norte,2020-01-05 14:00:00,7,14,4.75447203,-74.04596522,54.60640022756036
Portal del Norte,2020-01-05 15:00:00,7,15,4.75447203,-74.04596522,54.56580956693092
Portal del Norte,2020-01-05 16:00:00,7,16,4.75447203,-74.04596522,54.30916531868225
Portal del Norte,2020-01-05 17:00:00,7,17,4.75447203,-74.04596522,54.290147718825416
Portal del Norte,2020-01-05 18:00:00,7,18,4.75447203,-74.04596522,54.02957768483293
Portal del Norte,2020-01-05 19:00:00,7,19,4.75447203,-74.04596522,54.02223810267661
Portal del Norte,2020-01-05 20:00:00,7,20,4.75447203,-74.04596522,53.81697489047015
Portal del Norte,2020-01-05 21:00:00,7,21,4.75447203,-74.04596522,53.52788121784176
Portal del Norte,2020-01-05 22:00:00,7,22,4.75447203,-74.04596522,52.40259468763559
Portal del Norte,2020-01-05 23:00:00,7,23,4.75447203,-74.04596522,50.42436230273494
Portal del Norte,2020-01-06 00:00:00,1,0,4.75447203,-74.04596522,47.334440854058386
Portal del Norte,2020-01-06 01:00:00,1,1,4.75447203,-74.04596522,46.03377152672158
Portal del Norte,2020-01-06 02:00:00,1,2,4.75447203,-74.04596522,45.93048432724803
Portal del Norte,2020-01-06 03:00:00,1,3,4.75447203,-74.04596522,46.938662111866996
Portal del Norte,2020-01-06 04:00:00,1,4,4.75447203,-74.04596522,52.43930236613714
Portal del Norte,2020-01-06 05:00:00,1,5,4.75447203,-74.04596522,56.11663639791275
Portal del Norte,2020-01-06 06:00:00,1,6,4.75447203,-74.04596522,57.08636508162918
Portal del Norte,2020-01-06 07:00:00,1,7,4.75447203,-74.04596522,57.13519079430897
Portal del Norte,2020-01-06 08:00:00,1,8,4.75447203,-74.04596522,57.00855670423289
Portal del Norte,2020-01-06 09:00:00,1,9,4.75447203,-74.04596522,56.79888366712548
Portal del Norte,2020-01-06 10:00:00,1,10,4.75447203,-74.04596522,56.90661940453389
Portal del Norte,2020-01-06 11:00:00,1,11,4.75447203,-74.04596522,56.8990829449952
Portal del Norte,2020-01-06 12:00:00,1,12,4.75447203,-74.04596522,56.94998257563035
Portal del Norte,2020-01-06 13:00:00,1,13,4.75447203,-74.04596522,57.10066417700426
Portal del Norte,2020-01-06 14:00:00,1,14,4.75447203,-74.04596522,57.14261029048317
Portal del Norte,2020-01-06 15:00:00,1,15,4.75447203,-74.04596522,57.116855266610784
Portal del Norte,2020-01-06 16:00:00,1,16,4.75447203,-74.04596522,57.10214574563004
Portal del Norte,2020-01-06 17:00:00,1,17,4.75447203,-74.04596522,57.036843457667004
Portal del Norte,2020-01-06 18:00:00,1,18,4.75447203,-74.04596522,56.62403348066706
