Estación;latitude;longitude;Variable;Hora;Valor_max;Valor_mean;Valor_min
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;1;113.0;69.20432581684321;6.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;2;106.1;71.65420124481325;31.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;3;106.4;73.58314315352699;33.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;4;107.6;75.60186721991704;35.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;5;125.8;78.54693983402498;42.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;6;114.7;79.25679460580913;41.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;7;122.1;79.42817042606507;44.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;8;117.8;79.57609022556379;44.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;9;121.3;79.80783251231543;43.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;10;118.7;79.99881773399012;42.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;11;115.3;80.38438423645322;43.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;12;124.6;80.42206896551724;45.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;13;123.5;80.91023376623374;39.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;14;126.5;80.14530612244901;26.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;15;116.8;80.70062337662343;37.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;16;116.3;80.42892857142857;44.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;17;113.4;79.87942857142846;40.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;18;117.8;79.78770408163248;43.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;19;119.9;78.45688311688322;9.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;20;115.3;78.47925925925928;39.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;21;128.0;77.855238095238;41.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;22;113.0;76.46742857142848;36.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;23;119.5;74.91117346938769;33.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;0;76.6;29.120623376623413;1.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;1;82.4;28.914127933732196;1.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;2;73.2;26.118620331950243;1.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;3;72.9;27.69600622406646;1.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;4;76.1;34.57619294605807;1.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;5;83.1;44.07033195020744;6.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;6;85.9;48.50010373443982;6.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;7;85.9;48.995388471177904;6.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;8;84.9;48.84626566416047;6.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;9;84.7;48.574039408866966;7.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;10;84.6;48.34665024630536;8.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;11;84.6;48.735221674876726;8.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;12;84.7;48.87714285714276;8.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;13;84.2;49.07714285714273;8.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;14;87.9;49.12668367346936;8.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;15;84.4;49.00457142857141;8.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;16;85.2;49.1356122448979;7.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;17;84.7;49.17563636363637;7.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;18;84.2;48.08836734693878;6.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;19;83.4;47.03870129870139;6.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;20;82.6;44.76349206349208;6.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;21;83.4;42.80730158730156;6.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;22;81.2;39.22155844155837;3.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;23;78.8;33.97852040816327;1.6
CAI Alamos;4.690173000000001;-74.11727900000001;L10;0;98.1;50.74197802197775;6.7
CAI Alamos;4.690173000000001;-74.11727900000001;L10;1;97.8;47.47128360012058;6.8
CAI Alamos;4.690173000000001;-74.11727900000001;L10;2;97.1;47.034056881333505;8.0
CAI Alamos;4.690173000000001;-74.11727900000001;L10;3;96.7;48.66335290280481;8.1
CAI Alamos;4.690173000000001;-74.11727900000001;L10;4;97.1;55.14946306540849;9.1
CAI Alamos;4.690173000000001;-74.11727900000001;L10;5;97.5;59.087857142856876;9.3
CAI Alamos;4.690173000000001;-74.11727900000001;L10;6;98.1;60.63930519480474;9.4
CAI Alamos;4.690173000000001;-74.11727900000001;L10;7;99.1;60.71681669928199;9.5
CAI Alamos;4.690173000000001;-74.11727900000001;L10;8;99.8;60.63124025974017;9.8
